SpeedTheo,Speed,Torque,pLow,pHigh,Deltap,QOut,QDr,PowerIn,PowerOut,Displacement,Etat,Etav,Etam
500,500,22,0.1013,5.01,4.9087,10.8,1.83,1.15191730631626,0.883566,23.3180662876889,76.7039435170547,92.6320378950292,82.8049833082326
500,500,33.6,0.1009,8.12,8.0191,10.44,2.22,1.75929188601028,1.3953234,23.3180662876889,79.3116486863535,89.5443032985283,88.5725230581554
500,500,44.9,0.1007,11.1,10.9993,10.08,2.56,2.35095850243636,1.8478824,23.3180662876889,78.601234266151,86.4565687020273,90.9141265333468
500,500,56.3,0.1004,14.1,13.9996,9.48,3.05,2.94786110661842,2.2119368,23.3180662876889,75.0353127233113,81.3103443745257,92.2826158227657
500,500,67.8,0.0999,17.08,16.9801,8.97,3.57,3.54999969855647,2.53852495,23.3180662876889,71.5077511424082,76.9360536961493,92.9443969466129
500,500,79.2,0.0996,20.1,20.0004,8.52,3.99,4.14690230273853,2.8400568,23.3180662876889,68.4862239972349,73.0763854505231,93.7186802207179
500,500,90.7,0.0993,23.05,22.9507,8.13,4.36,4.74904089467657,3.10981985,23.3180662876889,65.4831137269411,69.731339637647,93.9077236536951
500,500,102.1,0.099,25.98,25.881,7.72,4.78,5.34594349885863,3.330022,23.3180662876889,62.2906321533508,66.2147530138542,94.0736457029713
500,501,115.9,0.0987,29.5,29.4013,7.18,5.32,6.08064682880265,3.51835556666667,23.3180662876889,57.8615345657144,61.4602306577872,94.1446752582
500,500,126.9,0.0983,32.27,32.1717,6.7,5.78,6.64446846234241,3.5925065,23.3180662876889,54.067628138512,57.4661716571015,94.0860102202936
500,500,136.2,0.0978,34.66,34.5622,6.1,6.26,7.13141532364883,3.51382366666667,23.3180662876889,49.2724586522721,52.3199473295998,94.1752833615648
500,501,150.6,0.0977,38.39,38.2923,5.8,6.96,7.9011683556314,3.701589,23.3180662876889,46.8486283723061,49.6475400856777,94.3624362686621
500,500,30.6,0.1009,5,4.8991,16.22,1.91,1.60221225333079,1.32439003333333,33.8949195913064,82.6600864261333,95.7075585106872,86.3673545876766
500,500,48,0.1005,8.14,8.0395,15.8,2.33,2.51327412287183,2.11706833333333,33.8949195913064,84.2354725283301,93.2293110030122,90.3529926608687
500,500,64.3,0.1001,11.07,10.9699,15.35,2.72,3.36674012709706,2.80646608333333,33.8949195913064,83.3585598349458,90.5740458162176,92.0336053046447
500,500,81.1,0.0997,14.09,13.9903,14.88,3.12,4.2463860701022,3.4695944,33.8949195913064,81.7069937288225,87.8007688433432,93.0595424222385
500,500,98,0.0993,17.13,17.0307,14.49,3.5,5.13126800086333,4.11291405,33.8949195913064,80.1539512126049,85.4995390147878,93.7478168142423
500,500,115.1,0.099,20.13,20.031,14.02,4.01,6.02662190713642,4.680577,33.8949195913064,77.6650181830305,82.7262620419134,93.881938173009
500,500,131.6,0.0986,23.08,22.9814,13.54,4.46,6.89055988687361,5.18613593333333,33.8949195913064,75.2643619455775,79.8939791759991,94.2052989747538
500,500,149.1,0.0982,26.2,26.1018,13.08,4.93,7.80685774417064,5.6901924,33.8949195913064,72.8871024228519,77.1797080961645,94.4381680376867
500,500,165.9,0.098,29.15,29.052,12.58,5.29,8.68650368717578,6.091236,33.8949195913064,70.1229887117038,74.2294134441705,94.4679278173803
500,501,183.6,0.0978,32.18,32.0822,12.07,5.77,9.63250006702474,6.45386923333333,33.8949195913064,67.0009778191135,71.0779569851662,94.2640737874562
500,501,200.5,0.0975,35.15,35.0525,11.53,6.25,10.5191517616474,6.73592208333333,33.8949195913064,64.0348407928895,67.8979986776277,94.3103508792946
500,501,217.4,0.0971,38.16,38.0629,10.96,6.81,11.40580345627,6.95282306666667,33.8949195913064,60.9586434951633,64.5413760196704,94.448936875137
500,500,40.2,0.1015,5.01,4.9085,22.17,1.69,2.10486707790516,1.81369075,45.5258282740179,86.1665218216558,97.3952626037236,88.4709579481759
500,500,63.2,0.101,8.13,8.029,21.67,2.12,3.30914426178125,2.89980716666667,45.5258282740179,87.6301223901843,95.1987072901529,92.0496978211052
500,500,85.5,0.1007,11.13,11.0293,21.24,2.55,4.47676953136545,3.9043722,45.5258282740179,87.2140540772742,93.3096697204821,93.4673269539288
500,500,107.7,0.1003,14.11,14.0097,20.81,2.88,5.63915881319368,4.85903095,45.5258282740179,86.1658823764911,91.4206321508114,94.2521183121423
500,500,130.5,0.1,17.17,17.07,20.47,3.19,6.8329640215578,5.823715,45.5258282740179,85.2297038536476,89.9269745375833,94.7765720929791
500,500,152.8,0.0998,20.12,20.0202,20.14,3.52,8.00058929114201,6.7201138,45.5258282740179,83.9952352939838,88.4772480306267,94.9342765101697
500,500,174.8,0.0994,23.04,22.9406,19.82,3.78,9.15250659745826,7.57804486666667,45.5258282740179,82.7974805150226,87.0714526299414,95.0914197640834
500,500,198.6,0.0993,26.19,26.0907,19.45,4.15,10.3986716833822,8.45773525,45.5258282740179,81.3347657039316,85.4460016978991,95.1884981014054
500,501,220.8,0.0991,29.11,29.0109,19.02,4.53,11.5841830871409,9.1964553,45.5258282740179,79.3880347955534,83.3901837607069,95.2006953520598
500,501,244,0.0989,32.11,32.0111,18.54,4.95,12.8013617448477,9.8914299,45.5258282740179,77.2685757746133,81.2856996279446,95.0580189729335
500,501,266.8,0.0985,35.14,35.0415,18.03,5.42,13.9975545636285,10.52997075,45.5258282740179,75.2272170266172,79.0496852368847,95.164473838431
500,501,290.1,0.0982,38.16,38.0618,17.5,5.97,15.2199796810669,11.1013583333333,45.5258282740179,72.9393768320404,76.7259840069596,95.0647655759283
